"mark","brand","title","link","quantity","finalPrice"
"TOP","","","https://www.wildberries.ru/catalog/30327259/detail.aspx?targetUrl=GP","300","3199"
"min","","","https://www.wildberries.ru/catalog/114715783/detail.aspx?targetUrl=GP","5","3099"
"max","","","https://www.wildberries.ru/catalog/111517641/detail.aspx?targetUrl=GP","5","8997"
"min3","","","","310","3169.6666666666665"
"max3","","","","15","6048.333333333333"
"avg","","","","30","3655.3333333333335"
