"mark","brand","title","link","quantity","finalPrice"
"TOP","","","https://www.wildberries.ru/catalog/72570404/detail.aspx?targetUrl=GP","500","2900"
"min","","","https://www.wildberries.ru/catalog/93983064/detail.aspx?targetUrl=GP","5","2490"
"max","","","https://www.wildberries.ru/catalog/29146325/detail.aspx?targetUrl=GP","20","7407"
"min3","","","","15","2557.6666666666665"
"max3","","","","30","6594.666666666667"
"avg","","","","1345","3497.366666666667"
