"mark","brand","title","link","quantity","finalPrice"
"TOP","","","https://www.wildberries.ru/catalog/30320643/detail.aspx?targetUrl=GP","400","4299"
"min","","","https://www.wildberries.ru/catalog/110100807/detail.aspx?targetUrl=GP","50","3703"
"max","","","https://www.wildberries.ru/catalog/91034718/detail.aspx?targetUrl=GP","10","9000"
"min3","","","","85","3703"
"max3","","","","20","8539.666666666666"
"avg","","","","650","5531.928571428572"
