"mark","brand","title","link","quantity","finalPrice"
"TOP","","","https://www.wildberries.ru/catalog/15092219/detail.aspx?targetUrl=GP","700","8350"
"min","","","https://www.wildberries.ru/catalog/46947436/detail.aspx?targetUrl=GP","5","4600"
"max","","","https://www.wildberries.ru/catalog/15092219/detail.aspx?targetUrl=GP","700","8350"
"min3","","","","15","4825.666666666667"
"max3","","","","710","7261.666666666667"
"avg","","","","20","5828"
