"mark","brand","title","link","quantity","finalPrice"
"TOP","","","https://www.wildberries.ru/catalog/14980044/detail.aspx?targetUrl=GP","1200","4592"
"min","","","https://www.wildberries.ru/catalog/27161336/detail.aspx?targetUrl=GP","400","3100"
"max","","","https://www.wildberries.ru/catalog/95823844/detail.aspx?targetUrl=GP","5","6500"
"min3","","","","415","3655"
"max3","","","","1210","5327.333333333333"
"avg","","","","1235","4337.285714285715"
