"mark","brand","title","link","quantity","finalPrice"
"TOP","","","https://www.wildberries.ru/catalog/26904356/detail.aspx?targetUrl=GP","100","8000"
"min","","","https://www.wildberries.ru/catalog/116539182/detail.aspx?targetUrl=GP","5","4590"
"max","","","https://www.wildberries.ru/catalog/26904356/detail.aspx?targetUrl=GP","100","8000"
"min3","","","","15","5190.666666666667"
"max3","","","","110","7430"
"avg","","","","55","6418.25"
