"mark","brand","title","link","quantity","finalPrice"
"TOP","","","https://www.wildberries.ru/catalog/66681934/detail.aspx?targetUrl=GP","5","4714"
"min","","","https://www.wildberries.ru/catalog/96626175/detail.aspx?targetUrl=GP","5","4150"
"max","","","https://www.wildberries.ru/catalog/66681934/detail.aspx?targetUrl=GP","5","4714"
"min3","","","","10","4432"
"max3","","","","10","4432"
"avg","","","","10","4432"
