"mark","brand","title","link","quantity","finalPrice"
"TOP","","","https://www.wildberries.ru/catalog/22364074/detail.aspx?targetUrl=GP","500","5575"
"min","","","https://www.wildberries.ru/catalog/82169498/detail.aspx?targetUrl=GP","300","3950"
"max","","","https://www.wildberries.ru/catalog/95823842/detail.aspx?targetUrl=GP","5","10000"
"min3","","","","410","4059.6666666666665"
"max3","","","","15","8358.333333333334"
"avg","","","","615","5585.777777777777"
