"mark","brand","title","link","quantity","finalPrice"
"TOP","","","https://www.wildberries.ru/catalog/16137870/detail.aspx?targetUrl=GP","2400","5990"
"min","","","https://www.wildberries.ru/catalog/93131956/detail.aspx?targetUrl=GP","5","4545"
"max","","","https://www.wildberries.ru/catalog/90273365/detail.aspx?targetUrl=GP","5","12000"
"min3","","","","50","4887.666666666667"
"max3","","","","15","10386.333333333334"
"avg","","","","4710","6669.794117647059"
