"mark","brand","title","link","quantity","finalPrice"
"TOP","","","https://www.wildberries.ru/catalog/19632269/detail.aspx?targetUrl=GP","500","4890"
"min","","","https://www.wildberries.ru/catalog/66271860/detail.aspx?targetUrl=GP","100","3283"
"max","","","https://www.wildberries.ru/catalog/61070673/detail.aspx?targetUrl=GP","5","8165"
"min3","","","","210","3778.6666666666665"
"max3","","","","20","7734.666666666667"
"avg","","","","1335","5409.411764705882"
