"mark","brand","title","link","quantity","finalPrice"
"TOP","","","https://www.wildberries.ru/catalog/30322843/detail.aspx?targetUrl=GP","400","4299"
"min","","","https://www.wildberries.ru/catalog/111542066/detail.aspx?targetUrl=GP","20","3450"
"max","","","https://www.wildberries.ru/catalog/51963900/detail.aspx?targetUrl=GP","10","10903"
"min3","","","","30","3724.3333333333335"
"max3","","","","20","10323"
"avg","","","","760","5231.571428571428"
