"mark","brand","title","link","quantity","finalPrice"
"TOP","","","https://www.wildberries.ru/catalog/15688255/detail.aspx?targetUrl=GP","500","5753"
"min","","","https://www.wildberries.ru/catalog/69192269/detail.aspx?targetUrl=GP","90","3224"
"max","","","https://www.wildberries.ru/catalog/49608018/detail.aspx?targetUrl=GP","5","7115"
"min3","","","","135","3242.6666666666665"
"max3","","","","510","6516.333333333333"
"avg","","","","60","4252.916666666667"
