"mark","brand","title","link","quantity","finalPrice"
"TOP","","","https://www.wildberries.ru/catalog/30319129/detail.aspx?targetUrl=GP","500","3099"
"min","","","https://www.wildberries.ru/catalog/85351631/detail.aspx?targetUrl=GP","40","2790"
"max","","","https://www.wildberries.ru/catalog/30344121/detail.aspx?targetUrl=GP","10","5798"
"min3","","","","560","2901.3333333333335"
"max3","","","","20","5087.333333333333"
"avg","","","","260","3641"
