"mark","brand","title","link","quantity","finalPrice"
"TOP","","","https://www.wildberries.ru/catalog/14980087/detail.aspx?targetUrl=GP","2500","8350"
"min","","","https://www.wildberries.ru/catalog/28108045/detail.aspx?targetUrl=GP","10","2560"
"max","","","https://www.wildberries.ru/catalog/15092221/detail.aspx?targetUrl=GP","100","8377"
"min3","","","","20","3407.3333333333335"
"max3","","","","2605","8145.333333333333"
"avg","","","","350","5606.9"
