"mark","brand","title","link","quantity","finalPrice"
"TOP","","","https://www.wildberries.ru/catalog/19189594/detail.aspx?targetUrl=GP","2000","6199"
"min","","","https://www.wildberries.ru/catalog/14825184/detail.aspx?targetUrl=GP","10","2640"
"max","","","https://www.wildberries.ru/catalog/84927822/detail.aspx?targetUrl=GP","5","12090"
"min3","","","","25","4173"
"max3","","","","15","11285"
"avg","","","","3620","7010.931034482759"
